ScanID,RecordNumber,Timestamp,SignalStrength,MACAddress,SSID
1,1,12:48:35.479,-50,f4:2e:7f:4f:16:c0,airuc-guest
1,2,12:48:35.545,-49,f4:2e:7f:4f:16:c1,airuc-secure
1,3,12:48:35.611,-49,f4:2e:7f:4f:16:c2,eduroam
1,5,12:48:35.711,-81,f4:2e:7f:4f:28:20,airuc-guest
1,6,12:48:35.777,-82,f4:2e:7f:4f:77:c0,airuc-guest
1,7,12:48:35.843,-83,f4:2e:7f:4f:39:22,eduroam
1,8,12:48:35.910,-83,f4:2e:7f:4f:28:21,airuc-secure
1,9,12:48:35.976,-83,f4:2e:7f:4f:28:22,eduroam
2,1,12:48:43.074,-54,f4:2e:7f:4f:16:c0,airuc-guest
2,2,12:48:43.141,-51,f4:2e:7f:4f:16:c1,airuc-secure
2,3,12:48:43.207,-52,f4:2e:7f:4f:16:c2,eduroam
2,4,12:48:43.240,-86,84:d4:7e:ef:3b:80,airuc-guest
2,6,12:48:43.373,-80,f4:2e:7f:4f:77:c0,airuc-guest
2,7,12:48:43.439,-80,f4:2e:7f:4f:77:c1,airuc-secure
2,8,12:48:43.506,-80,f4:2e:7f:4f:77:c2,eduroam
2,9,12:48:43.572,-87,f4:2e:7f:4f:39:22,eduroam
2,10,12:48:43.639,-81,f4:2e:7f:4f:39:20,airuc-guest
2,11,12:48:43.672,-82,f4:2e:7f:4f:39:21,airuc-secure
2,12,12:48:43.738,-86,f4:2e:7f:4f:28:20,airuc-guest
3,1,12:48:51.372,-56,f4:2e:7f:4f:16:c0,airuc-guest
3,2,12:48:51.438,-54,f4:2e:7f:4f:16:c1,airuc-secure
3,3,12:48:51.504,-56,f4:2e:7f:4f:16:c2,eduroam
3,4,12:48:51.538,-85,f4:2e:7f:4f:d8:80,airuc-guest
3,5,12:48:51.604,-84,f4:2e:7f:4f:28:20,airuc-guest
3,6,12:48:51.670,-80,f4:2e:7f:4f:77:c0,airuc-guest
3,7,12:48:51.737,-81,f4:2e:7f:4f:77:c1,airuc-secure
3,8,12:48:51.803,-85,f4:2e:7f:4f:39:22,eduroam
4,1,12:48:58.869,-55,f4:2e:7f:4f:16:c0,airuc-guest
4,2,12:48:58.935,-55,f4:2e:7f:4f:16:c1,airuc-secure
4,3,12:48:59.002,-55,f4:2e:7f:4f:16:c2,eduroam
4,4,12:48:59.035,-80,f4:2e:7f:4f:77:c1,airuc-secure
4,5,12:48:59.101,-80,f4:2e:7f:4f:77:c2,eduroam
4,6,12:48:59.168,-85,f4:2e:7f:4f:39:20,airuc-guest
4,7,12:48:59.234,-87,f4:2e:7f:4f:39:21,airuc-secure
4,8,12:48:59.300,-86,f4:2e:7f:4f:28:20,airuc-guest
4,9,12:48:59.367,-80,f4:2e:7f:4f:77:c0,airuc-guest
4,10,12:48:59.433,-86,f4:2e:7f:4f:28:21,airuc-secure
5,1,12:49:06.895,-59,f4:2e:7f:4f:16:c0,airuc-guest
5,2,12:49:06.962,-58,f4:2e:7f:4f:16:c1,airuc-secure
5,3,12:49:06.995,-59,f4:2e:7f:4f:16:c2,eduroam
5,4,12:49:07.061,-87,b8:76:3f:33:d0:e2,HP-Print-e2-LaserJet 300
5,5,12:49:07.127,-81,f4:2e:7f:4f:77:c0,airuc-guest
5,6,12:49:07.194,-85,f4:2e:7f:4f:39:20,airuc-guest
5,7,12:49:07.260,-85,f4:2e:7f:4f:39:21,airuc-secure
5,8,12:49:07.326,-83,f4:2e:7f:4f:39:22,eduroam
6,1,12:49:14.093,-54,f4:2e:7f:4f:16:c0,airuc-guest
6,2,12:49:14.160,-54,f4:2e:7f:4f:16:c1,airuc-secure
6,3,12:49:14.226,-54,f4:2e:7f:4f:16:c2,eduroam
6,4,12:49:14.259,-85,f4:2e:7f:4f:77:c0,airuc-guest
6,5,12:49:14.326,-83,f4:2e:7f:4f:77:c2,eduroam
6,6,12:49:14.392,-88,f4:2e:7f:4f:39:20,airuc-guest
7,1,12:49:21.392,-54,f4:2e:7f:4f:16:c0,airuc-guest
7,2,12:49:21.458,-54,f4:2e:7f:4f:16:c1,airuc-secure
7,3,12:49:21.525,-55,f4:2e:7f:4f:16:c2,eduroam
