ScanID,RecordNumber,Timestamp,SignalStrength,MACAddress,SSID
1,2,12:59:05.215,-78,84:d4:7e:ef:3f:c0,airuc-guest
1,3,12:59:05.281,-78,84:d4:7e:ef:3f:c1,airuc-secure
1,4,12:59:05.314,-78,84:d4:7e:ef:3f:c2,eduroam
1,6,12:59:05.414,-74,e4:c3:2a:85:e7:5b,Ponnurangam-Fiaxell
2,1,12:59:12.246,-78,84:d4:7e:ef:3f:c0,airuc-guest
2,2,12:59:12.312,-78,84:d4:7e:ef:3f:c1,airuc-secure
2,3,12:59:12.378,-78,84:d4:7e:ef:3f:c2,eduroam
2,4,12:59:12.411,-80,84:d4:7e:f2:f1:c0,airuc-guest
2,6,12:59:12.543,-81,28:24:ff:94:aa:fd,ClickShare-ENC113
2,7,12:59:12.610,-82,84:d4:7e:f2:f1:c2,eduroam
2,9,12:59:12.709,-83,04:bd:88:27:4a:40,airuc-guest
2,10,12:59:12.775,-83,04:bd:88:27:4a:41,airuc-secure
2,11,12:59:12.841,-83,04:bd:88:27:4a:42,eduroam
3,1,12:59:20.439,-74,84:d4:7e:ef:3f:c0,airuc-guest
3,2,12:59:20.506,-74,84:d4:7e:ef:3f:c1,airuc-secure
3,3,12:59:20.572,-75,84:d4:7e:ef:3f:c2,eduroam
3,4,12:59:20.605,-81,28:24:ff:94:aa:fd,ClickShare-ENC113
3,5,12:59:20.705,-86,84:d4:7e:ef:60:c0,airuc-guest
3,6,12:59:20.771,-80,84:d4:7e:f2:f1:c0,airuc-guest
3,7,12:59:20.837,-81,84:d4:7e:f2:f1:c1,airuc-secure
3,8,12:59:20.904,-81,84:d4:7e:f2:f1:c2,eduroam
3,9,12:59:20.937,-77,e4:c3:2a:85:e7:5b,Ponnurangam-Fiaxell
3,11,12:59:21.069,-84,04:bd:88:27:4a:41,airuc-secure
4,1,12:59:28.530,-81,28:24:ff:94:aa:fd,ClickShare-ENC113
4,2,12:59:28.596,-85,84:d4:7e:ef:60:c2,eduroam
4,3,12:59:28.663,-75,84:d4:7e:ef:3f:c0,airuc-guest
4,4,12:59:28.729,-74,84:d4:7e:ef:3f:c1,airuc-secure
4,5,12:59:28.795,-74,84:d4:7e:ef:3f:c2,eduroam
4,6,12:59:28.828,-80,e4:c3:2a:85:e7:5b,Ponnurangam-Fiaxell
4,8,12:59:28.961,-84,04:bd:88:27:4a:40,airuc-guest
5,1,12:59:36.191,-76,84:d4:7e:ef:3f:c0,airuc-guest
5,2,12:59:36.257,-76,84:d4:7e:ef:3f:c1,airuc-secure
5,3,12:59:36.324,-76,84:d4:7e:ef:3f:c2,eduroam
5,4,12:59:36.357,-81,28:24:ff:94:aa:fd,ClickShare-ENC113
5,5,12:59:36.456,-85,84:d4:7e:ef:60:c0,airuc-guest
5,6,12:59:36.523,-86,84:d4:7e:e6:71:e0,airuc-guest
5,7,12:59:36.589,-76,e4:c3:2a:85:e7:5b,Ponnurangam-Fiaxell
5,9,12:59:36.688,-87,a8:5e:45:dc:fd:80,eng24
5,10,12:59:36.755,-83,04:bd:88:27:4a:40,airuc-guest
6,1,12:59:45.641,-81,84:d4:7e:ef:3f:c0,airuc-guest
6,2,12:59:45.707,-81,84:d4:7e:ef:3f:c2,eduroam
6,3,12:59:45.740,-81,28:24:ff:94:aa:fd,ClickShare-ENC113
7,1,12:59:54.492,-80,28:24:ff:94:aa:fd,ClickShare-ENC113
7,2,12:59:54.559,-85,e4:c3:2a:85:e7:5b,Ponnurangam-Fiaxell
7,3,12:59:54.625,-85,04:bd:88:27:4a:40,airuc-guest
8,1,13:00:00.827,-82,28:24:ff:94:aa:fd,ClickShare-ENC113
8,2,13:00:00.893,-83,84:d4:7e:ef:3f:c0,airuc-guest
8,3,13:00:00.959,-81,84:d4:7e:ef:3f:c2,eduroam
8,5,13:00:01.092,-85,e4:c3:2a:85:e7:5b,Ponnurangam-Fiaxell
8,6,13:00:01.158,-88,04:bd:88:27:4a:40,airuc-guest
8,7,13:00:01.225,-84,84:d4:7e:e6:e8:42,eduroam
8,8,13:00:01.291,-85,84:d4:7e:e6:e8:41,airuc-secure
9,1,13:00:09.250,-80,28:24:ff:94:aa:fd,ClickShare-ENC113
9,3,13:00:09.383,-81,84:d4:7e:ef:3f:c0,airuc-guest
9,4,13:00:09.449,-80,e4:c3:2a:85:e7:5b,Ponnurangam-Fiaxell
9,5,13:00:09.515,-86,04:bd:88:27:4a:42,eduroam
9,6,13:00:09.549,-87,04:bd:88:27:4a:40,airuc-guest
10,1,13:00:16.449,-80,28:24:ff:94:aa:fd,ClickShare-ENC113
10,3,13:00:16.582,-81,84:d4:7e:ef:3f:c0,airuc-guest
10,5,13:00:16.681,-74,e4:c3:2a:85:e7:5b,Ponnurangam-Fiaxell
10,6,13:00:16.748,-86,84:d4:7e:e6:e8:40,airuc-guest
10,7,13:00:16.814,-87,04:bd:88:27:4f:20,airuc-guest
10,8,13:00:16.881,-88,84:d4:7e:e6:e8:41,airuc-secure
10,9,13:00:16.947,-85,84:d4:7e:e6:e8:42,eduroam
