ScanID,RecordNumber,Timestamp,SignalStrength,MACAddress,SSID
1,1,13:02:27.588,-56,84:d4:7e:e6:24:c0,airuc-guest
1,2,13:02:27.654,-55,84:d4:7e:e6:24:c1,airuc-secure
1,3,13:02:27.720,-76,84:d4:7e:f2:fd:c0,airuc-guest
1,4,13:02:27.787,-74,84:d4:7e:f2:fd:c1,airuc-secure
1,5,13:02:27.853,-75,84:d4:7e:f2:fd:c2,eduroam
1,6,13:02:27.886,-75,84:d4:7e:ef:35:41,airuc-secure
1,8,13:02:28.019,-54,84:d4:7e:e6:24:c2,eduroam
1,9,13:02:28.086,-80,84:d4:7e:f3:00:82,eduroam
1,10,13:02:28.152,-76,84:d4:7e:ef:35:40,airuc-guest
1,11,13:02:28.218,-75,84:d4:7e:ef:35:42,eduroam
1,12,13:02:28.285,-79,84:d4:7e:e6:73:e1,airuc-secure
1,13,13:02:28.318,-80,84:d4:7e:e6:73:e2,eduroam
1,14,13:02:28.384,-79,84:d4:7e:e6:78:20,airuc-guest
1,15,13:02:28.450,-80,84:d4:7e:e6:78:21,airuc-secure
1,16,13:02:28.517,-80,84:d4:7e:e6:78:22,eduroam
1,17,13:02:28.583,-77,e4:c3:2a:85:e7:5b,Ponnurangam-Fiaxell
1,19,13:02:28.716,-80,04:bd:88:27:4a:41,airuc-secure
1,20,13:02:28.782,-81,04:bd:88:27:4a:42,eduroam
1,21,13:02:28.815,-83,04:bd:88:27:4f:22,eduroam
1,22,13:02:28.882,-80,84:d4:7e:e6:e8:41,airuc-secure
2,1,13:02:39.035,-60,84:d4:7e:e6:24:c0,airuc-guest
2,2,13:02:39.102,-58,84:d4:7e:e6:24:c1,airuc-secure
2,3,13:02:39.168,-59,84:d4:7e:e6:24:c2,eduroam
2,4,13:02:39.234,-76,84:d4:7e:f3:00:80,airuc-guest
2,5,13:02:39.301,-63,84:d4:7e:f2:fd:c0,airuc-guest
2,6,13:02:39.334,-64,84:d4:7e:f2:fd:c1,airuc-secure
2,7,13:02:39.400,-64,84:d4:7e:f2:fd:c2,eduroam
2,9,13:02:39.533,-82,84:d4:7e:e6:f0:a0,airuc-guest
2,10,13:02:39.600,-80,84:d4:7e:e6:f0:a1,airuc-secure
2,11,13:02:39.666,-82,84:d4:7e:e6:24:02,eduroam
2,12,13:02:39.732,-81,84:d4:7e:e6:73:e2,eduroam
2,13,13:02:39.799,-80,e4:c3:2a:85:e7:5b,Ponnurangam-Fiaxell
2,14,13:02:39.865,-85,84:d4:7e:ee:94:00,airuc-guest
3,1,13:02:50.944,-58,84:d4:7e:e6:24:c0,airuc-guest
3,2,13:02:51.010,-58,84:d4:7e:e6:24:c1,airuc-secure
3,3,13:02:51.077,-58,84:d4:7e:e6:24:c2,eduroam
3,4,13:02:51.110,-62,84:d4:7e:f2:fd:c0,airuc-guest
3,5,13:02:51.176,-62,84:d4:7e:f2:fd:c1,airuc-secure
3,6,13:02:51.243,-62,84:d4:7e:f2:fd:c2,eduroam
3,8,13:02:51.375,-83,84:d4:7e:e6:78:21,airuc-secure
3,10,13:02:51.475,-79,a8:5e:45:dc:fd:80,eng24
