ScanID,RecordNumber,Timestamp,SignalStrength,MACAddress,SSID
1,1,13:06:23.305,-79,84:d4:7e:ef:63:a2,eduroam
1,2,13:06:23.339,-84,84:d4:7e:e6:f2:20,airuc-guest
1,3,13:06:23.405,-81,84:d4:7e:e6:73:e0,airuc-guest
1,4,13:06:23.471,-67,84:d4:7e:ef:4f:00,airuc-guest
1,5,13:06:23.538,-65,84:d4:7e:ef:4f:01,airuc-secure
1,6,13:06:23.604,-67,84:d4:7e:ef:4f:02,eduroam
1,8,13:06:23.704,-78,e4:c3:2a:85:e7:5b,Ponnurangam-Fiaxell
1,9,13:06:23.770,-82,04:bd:88:27:4f:20,airuc-guest
1,10,13:06:23.837,-77,84:d4:7e:e6:e8:40,airuc-guest
1,11,13:06:23.903,-77,84:d4:7e:e6:e8:41,airuc-secure
1,12,13:06:23.969,-78,84:d4:7e:e6:e8:42,eduroam
1,13,13:06:24.036,-83,04:bd:88:27:4f:21,airuc-secure
2,1,13:06:31.898,-69,84:d4:7e:ef:4f:00,airuc-guest
2,2,13:06:31.964,-69,84:d4:7e:ef:4f:01,airuc-secure
2,3,13:06:32.030,-69,84:d4:7e:ef:4f:02,eduroam
2,5,13:06:32.129,-76,84:d4:7e:e6:e8:40,airuc-guest
2,6,13:06:32.163,-75,84:d4:7e:e6:e8:41,airuc-secure
2,7,13:06:32.229,-76,84:d4:7e:e6:e8:42,eduroam
2,8,13:06:32.296,-84,04:bd:88:27:4f:20,airuc-guest
2,9,13:06:32.362,-83,04:bd:88:27:4f:21,airuc-secure
2,10,13:06:32.428,-84,04:bd:88:27:4f:22,eduroam
3,1,13:06:39.193,-82,04:bd:88:27:51:80,airuc-guest
3,2,13:06:39.259,-70,84:d4:7e:ef:4f:00,airuc-guest
3,3,13:06:39.325,-69,84:d4:7e:ef:4f:01,airuc-secure
3,4,13:06:39.392,-69,84:d4:7e:ef:4f:02,eduroam
3,5,13:06:39.425,-84,84:d4:7e:e6:78:20,airuc-guest
3,7,13:06:39.524,-76,e4:c3:2a:85:e7:5b,Ponnurangam-Fiaxell
3,8,13:06:39.624,-83,04:bd:88:27:4f:20,airuc-guest
3,9,13:06:39.690,-77,84:d4:7e:e6:e8:40,airuc-guest
3,10,13:06:39.757,-75,84:d4:7e:e6:e8:41,airuc-secure
3,11,13:06:39.823,-75,84:d4:7e:e6:e8:42,eduroam
3,12,13:06:39.856,-83,04:bd:88:27:4f:21,airuc-secure
4,1,13:06:47.286,-81,04:bd:88:27:51:82,eduroam
4,2,13:06:47.352,-85,84:d4:7e:e6:83:e0,airuc-guest
4,3,13:06:47.385,-86,84:d4:7e:f2:fc:60,airuc-guest
4,4,13:06:47.452,-69,84:d4:7e:ef:4f:00,airuc-guest
4,5,13:06:47.518,-68,84:d4:7e:ef:4f:01,airuc-secure
4,6,13:06:47.584,-68,84:d4:7e:ef:4f:02,eduroam
4,7,13:06:47.651,-83,84:d4:7e:e6:78:20,airuc-guest
4,9,13:06:47.783,-75,e4:c3:2a:85:e7:5b,Ponnurangam-Fiaxell
4,10,13:06:47.817,-75,84:d4:7e:e6:e8:41,airuc-secure
4,11,13:06:47.883,-76,84:d4:7e:e6:e8:42,eduroam
4,12,13:06:47.949,-82,04:bd:88:27:4f:21,airuc-secure
4,13,13:06:48.016,-76,84:d4:7e:e6:e8:40,airuc-guest
5,1,13:06:54.979,-82,84:d4:7e:ef:63:a0,airuc-guest
5,2,13:06:55.045,-82,84:d4:7e:ef:63:a1,airuc-secure
5,3,13:06:55.111,-76,84:d4:7e:ef:4f:00,airuc-guest
5,4,13:06:55.178,-75,84:d4:7e:ef:4f:01,airuc-secure
5,5,13:06:55.244,-76,84:d4:7e:ef:4f:02,eduroam
5,6,13:06:55.277,-84,e4:c3:2a:85:e7:5b,Ponnurangam-Fiaxell
5,8,13:06:55.410,-81,84:d4:7e:e6:e8:42,eduroam
5,9,13:06:55.476,-81,84:d4:7e:e6:e8:40,airuc-guest
5,10,13:06:55.543,-81,84:d4:7e:e6:e8:41,airuc-secure
6,1,13:07:01.976,-82,84:d4:7e:ef:63:a1,airuc-secure
6,2,13:07:02.042,-82,84:d4:7e:ef:63:a2,eduroam
6,3,13:07:02.109,-75,84:d4:7e:ef:4f:00,airuc-guest
6,4,13:07:02.175,-74,84:d4:7e:ef:4f:01,airuc-secure
6,5,13:07:02.241,-74,84:d4:7e:ef:4f:02,eduroam
6,6,13:07:02.308,-82,84:d4:7e:e6:78:20,airuc-guest
6,7,13:07:02.341,-77,e4:c3:2a:85:e7:5b,Ponnurangam-Fiaxell
7,1,13:07:09.473,-83,04:bd:88:27:51:80,airuc-guest
7,2,13:07:09.539,-68,84:d4:7e:ef:4f:00,airuc-guest
7,3,13:07:09.605,-67,84:d4:7e:ef:4f:02,eduroam
7,4,13:07:09.672,-68,84:d4:7e:ef:4f:01,airuc-secure
7,6,13:07:09.771,-77,e4:c3:2a:85:e7:5b,Ponnurangam-Fiaxell
7,7,13:07:09.871,-75,84:d4:7e:e6:e8:40,airuc-guest
7,8,13:07:09.937,-74,84:d4:7e:e6:e8:41,airuc-secure
7,9,13:07:09.970,-74,84:d4:7e:e6:e8:42,eduroam
7,10,13:07:10.037,-81,04:bd:88:27:4f:20,airuc-guest
7,11,13:07:10.103,-83,04:bd:88:27:4f:22,eduroam
7,12,13:07:10.169,-85,04:bd:88:27:4a:40,airuc-guest
8,1,13:07:17.102,-84,84:d4:7e:f2:fc:61,airuc-secure
8,2,13:07:17.168,-68,84:d4:7e:ef:4f:00,airuc-guest
8,3,13:07:17.201,-68,84:d4:7e:ef:4f:01,airuc-secure
8,4,13:07:17.268,-67,84:d4:7e:ef:4f:02,eduroam
8,5,13:07:17.334,-83,84:d4:7e:e6:78:22,eduroam
8,6,13:07:17.400,-78,e4:c3:2a:85:e7:5b,Ponnurangam-Fiaxell
8,8,13:07:17.533,-76,84:d4:7e:e6:e8:40,airuc-guest
8,9,13:07:17.600,-76,84:d4:7e:e6:e8:41,airuc-secure
8,10,13:07:17.633,-77,84:d4:7e:e6:e8:42,eduroam
8,11,13:07:17.699,-83,04:bd:88:27:4f:22,eduroam
9,1,13:07:25.894,-82,04:bd:88:27:51:80,airuc-guest
9,2,13:07:25.960,-82,04:bd:88:27:51:81,airuc-secure
9,3,13:07:26.026,-68,84:d4:7e:ef:4f:00,airuc-guest
9,4,13:07:26.092,-67,84:d4:7e:ef:4f:01,airuc-secure
9,5,13:07:26.159,-67,84:d4:7e:ef:4f:02,eduroam
9,7,13:07:26.225,-76,84:d4:7e:e6:e8:40,airuc-guest
9,8,13:07:26.291,-76,84:d4:7e:e6:e8:41,airuc-secure
9,9,13:07:26.358,-74,84:d4:7e:e6:e8:42,eduroam
9,10,13:07:26.424,-81,04:bd:88:27:4f:20,airuc-guest
9,11,13:07:26.490,-82,04:bd:88:27:4f:21,airuc-secure
9,12,13:07:26.556,-83,04:bd:88:27:4f:22,eduroam
10,1,13:07:34.486,-85,04:bd:88:27:51:81,airuc-secure
10,2,13:07:34.553,-84,84:d4:7e:f2:fc:61,airuc-secure
10,3,13:07:34.619,-85,84:d4:7e:f2:fc:62,eduroam
10,4,13:07:34.652,-83,04:bd:88:27:51:80,airuc-guest
10,5,13:07:34.719,-66,84:d4:7e:ef:4f:00,airuc-guest
10,6,13:07:34.785,-66,84:d4:7e:ef:4f:01,airuc-secure
10,7,13:07:34.852,-67,84:d4:7e:ef:4f:02,eduroam
10,8,13:07:34.918,-76,e4:c3:2a:85:e7:5b,Ponnurangam-Fiaxell
10,10,13:07:35.051,-77,84:d4:7e:e6:e8:40,airuc-guest
10,11,13:07:35.117,-75,84:d4:7e:e6:e8:41,airuc-secure
10,12,13:07:35.183,-76,84:d4:7e:e6:e8:42,eduroam
10,13,13:07:35.217,-82,04:bd:88:27:4f:20,airuc-guest
10,14,13:07:35.283,-82,04:bd:88:27:4f:21,airuc-secure
10,15,13:07:35.349,-82,04:bd:88:27:4f:22,eduroam
